id,imdb_id,budget,revenue,genre_names,original_title,runtime,status,countries,title,original_language,avg_vote,vote_count,popularity,genres,year,90s,00s,10s,Drama,Thriller,Romance,Adventure,Action,History,Comedy,Mystery,Fantasy,Animation,Family,Crime,War,Science Fiction,Horror,Music,Western,TV Movie,profit,profit_margin
2335,tt0804540,,65125001.0,"['Action', 'Comedy']",Taxi 4,91.0,Released,['France'],Taxi 4,French,5.5,710,11.257,"[28, 35]",2007,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
2395,tt0463872,97250400.0,131856927.0,"['Fantasy', 'Adventure', 'Comedy', 'Family']",Astérix aux Jeux Olympiques,116.0,Released,"['Belgium', 'France', 'Germany', 'Italy', 'Spain']",Asterix at the Olympic Games,French,5.1,1226,17.297,"[12, 35, 14, 10751]",2008,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,34606527.0,26.2
2440,tt0260991,,124071.0,"['War', 'Drama', 'Thriller', 'Action']",공동경비구역 JSA,110.0,Released,['South Korea'],Joint Security Area,Korean,7.8,270,11.71,"[10752, 18, 53, 28]",2000,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,
2517,tt0408664,,2288093.0,['Drama'],誰も知らない,141.0,Released,['Japan'],Nobody Knows,Japanese,8.1,204,10.224,[18],2004,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2671,tt0178868,1200000.0,59001.0,"['Horror', 'Thriller']",リング,96.0,Released,['Japan'],Ringu,Japanese,7.1,651,11.380999999999998,"[27, 53]",1998,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1140999.0,-1933.9
2841,tt0344510,47000000.0,69424389.0,"['Drama', 'Romance', 'War']",Un long dimanche de fiançailles,133.0,Released,['France'],A Very Long Engagement,French,7.3,692,12.893,"[18, 10749, 10752]",2004,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22424389.0,32.3
2882,tt0792965,,31920899.0,"['Romance', 'Drama']","Ensemble, c'est tout",97.0,Released,['France'],Hunting and Gathering,French,6.6,255,7.005,"[18, 10749]",2007,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2899,tt0250223,58500000.0,128027976.0,"['Family', 'Fantasy', 'Comedy', 'Adventure']",Astérix & Obélix Mission Cléopâtre,108.0,Released,"['France', 'Germany']",Asterix & Obelix: Mission Cleopatra,French,7.4,2085,20.005,"[12, 35, 14, 10751]",2002,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,69527976.0,54.3
3040,tt0403358,10000000.0,50336279.0,"['Fantasy', 'Action', 'Thriller']",Ночной дозор,114.0,Released,['Russia'],Night Watch,Russian,6.2,402,10.451,"[28, 14, 53]",2004,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,40336279.0,80.1
3176,tt0266308,4500000.0,958989.0,"['Drama', 'Thriller', 'Adventure']",バトル・ロワイアル,114.0,Released,['Japan'],Battle Royale,Japanese,7.3,2010,17.759,"[12, 18, 53]",2000,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3541011.0,-369.2
