id,title,original_language,avg_vote,vote_count,popularity,genres,release_date,adult
530915,1917,en,7.9,4183,87.573,"[28, 18, 53, 10752]",2019-12-25,False
400928,Gifted,en,7.9,2671,39.47,"[35, 18, 10751]",2017-04-12,False
3034,Young Frankenstein,en,7.9,1925,18.07,[35],1974-12-15,False
150540,Inside Out,en,7.9,14518,61.129,"[16, 35, 18, 10751]",2015-06-09,False
93,Anatomy of a Murder,en,7.9,435,12.043,"[80, 18, 9648, 53]",1959-07-01,False
33320,Millennium Actress,ja,7.9,304,14.385,"[16, 18, 10749]",2001-10-28,False
862,Toy Story,en,7.9,12025,40.397,"[16, 35, 10751]",1995-10-30,False
78,Blade Runner,en,7.9,8784,40.887,"[878, 18, 53]",1982-06-25,False
11953,Kagemusha,ja,7.9,310,10.303,"[28, 18, 36, 10752]",1980-04-26,False
301,Rio Bravo,en,7.9,591,9.277,"[37, 18]",1959-03-17,False
33,Unforgiven,en,7.9,2305,23.267,[37],1992-08-07,False
381341,Perfect Strangers,it,7.9,3008,17.857,"[35, 18]",2016-02-11,False
331482,Little Women,en,7.9,1764,63.809,"[18, 10749]",2019-12-25,False
20722,La Maison en Petits Cubes,ja,7.9,284,7.053,"[16, 18, 10751]",2008-06-10,False
10774,Network,en,7.9,866,16.119,[18],1976-11-01,False
827,Diabolique,fr,7.9,456,9.649,"[18, 27, 53]",1955-01-29,False
2011,Persepolis,fr,7.9,1103,9.472,"[16, 18]",2007-06-27,False
11293,Paper Moon,en,7.9,338,8.671,"[35, 80, 18]",1973-05-09,False
185789,Mulholland Dr.,en,7.9,225,8.832,"[53, 10770, 18, 9648]",1999-01-01,False
76,Before Sunrise,en,7.9,2162,18.159,"[18, 10749]",1995-01-27,False
804,Roman Holiday,en,7.9,1093,16.131,"[35, 18, 10749]",1953-08-26,False
198,To Be or Not to Be,en,7.9,299,10.129,"[35, 10752]",1942-03-05,False
396,Who's Afraid of Virginia Woolf?,en,7.9,414,10.137,[18],1966-06-22,False
